post_shortcode,commenter_username,comment_text,comment_likes
CWdG3x4Ahl9,<Profile sapna__k__143 (58431804925)>,:red_heart::red_heart:,0
CWdG3x4Ahl9,<Profile __xo.nirali__321 (61848566991)>,I just need to struggle and then my dream will come true like Arijit Singh jiii :red_heart::red_heart:,0
CWdG3x4Ahl9,<Profile _aryanshan_ (57364199071)>,:red_heart:,0
CWdG3x4Ahl9,<Profile i_am_soldier9098 (61302673208)>,:red_heart::red_heart::red_heart:,0
CWdG3x4Ahl9,<Profile karan._.rathore_08 (51245239524)>,:red_heart:,0
CWdG3x4Ahl9,<Profile 705266a (60663453478)>,:red_heart:,0
CWdG3x4Ahl9,<Profile am_ki_diwani_74_big_fan (54625384133)>,:smiling_face_with_heart-eyes:,0
CWdG3x4Ahl9,<Profile himanshusharma_37 (48287559440)>,:red_heart:,0
CWdG3x4Ahl9,<Profile the_subha_world (9927236818)>,Please reply,0
CWdG3x4Ahl9,<Profile shartej768 (57438009480)>,Good nice 22 get,1
CWdG3x4Ahl9,<Profile singing_n.k.__ (48339966368)>,:fire::fire::fire::red_heart::fire::fire::red_heart::red_heart::red_heart:,1
CWdG3x4Ahl9,<Profile niranjanchavda4 (51053141773)>,:fire:,1
CWdG3x4Ahl9,<Profile niranjanchavda4 (51053141773)>,:red_heart:,1
CWdG3x4Ahl9,<Profile niranjanchavda4 (51053141773)>,:clapping_hands:,0
CWdG3x4Ahl9,<Profile niranjanchavda4 (51053141773)>,:smiling_face_with_heart-eyes:,0
CWdG3x4Ahl9,<Profile wordq.uote (33969433058)>,Team Work leads to great work :red_heart:,0
CWdG3x4Ahl9,<Profile mihirrooo (10172339684)>,:fire::fire:,0
CWdG3x4Ahl9,<Profile priya_devagonda (7685791671)>,:fire::fire::fire:,0
CWdG3x4Ahl9,<Profile puneetsingh_7 (49266268649)>,:clapping_hands::clapping_hands::clapping_hands::clapping_hands:,0
CWdG3x4Ahl9,<Profile puneetsingh_7 (49266268649)>,Nice,0
CWdG3x4Ahl9,<Profile lende_rohini (52569253626)>,:hundred_points::hundred_points:,0
CWdG3x4Ahl9,<Profile cg_akshuu__01 (51609547841)>,:red_heart::red_heart::red_heart::red_heart::red_heart:,0
CWdG3x4Ahl9,<Profile opekha_5353 (50422173081)>,Happy birthday sir.....,1
CWdG3x4Ahl9,<Profile musharafhali (42427083176)>,Hi,0
CWdG3x4Ahl9,<Profile meylis_hydyrow_ (5502023115)>,:fire:,0
CWdG3x4Ahl9,<Profile hyper____shan____up36___ (48436809483)>,:red_heart::red_heart::red_heart::red_heart::red_heart::red_heart::red_heart::red_heart::red_heart::red_heart:,0
CWdG3x4Ahl9,<Profile pintu._.official._.001 (50860472190)>,:face_blowing_a_kiss::face_blowing_a_kiss:,0
CWdG3x4Ahl9,<Profile sadamkhanlanga (6439832048)>,:red_heart::red_heart::red_heart::red_heart::red_heart:,0
CWdG3x4Ahl9,<Profile mchapetz_ (49271758371)>,:fire::fire::fire::fire:,0
CWdG3x4Ahl9,<Profile priyanka.kushwah_ (44729703372)>,:red_heart::red_heart::red_heart:,1
CWdG3x4Ahl9,<Profile vaibhav.suryawanshi.1656 (42024646165)>,:heart_exclamation::heart_exclamation::hundred_points::hundred_points:,0
CWdG3x4Ahl9,<Profile sanggithakur (45293489383)>,Amazing:red_heart::red_heart:,1
CWdG3x4Ahl9,<Profile amir.mohd.7 (51142485745)>,Amazing,0
CWdG3x4Ahl9,<Profile he_ena3255 (48376824041)>,Love uhh,1
CWdG3x4Ahl9,<Profile __cute__girl__ishu_ (49328176243)>,:red_heart::red_heart::smiling_face_with_heart-eyes::smiling_face_with_heart-eyes:,1
CWdG3x4Ahl9,<Profile kaisali_999 (50067885625)>,:smiling_face_with_heart-eyes::fire::fire:,1
CWdG3x4Ahl9,<Profile the_baby_queen_1434 (50583402449)>,. Nom.. . .... . . . .. .......... .. ..... . .. ... . ...... . ...... .... . .. ..... ..,1
CWdG3x4Ahl9,<Profile the_baby_queen_1434 (50583402449)>,.. .. . ...,1
CWdG3x4Ahl9,<Profile the_baby_queen_1434 (50583402449)>,Sai. Ta.. Lo.. Lo...,1
CWdG3x4Ahl9,<Profile the_baby_queen_1434 (50583402449)>,No,1
CWdG3x4Ahl9,<Profile the_baby_queen_1434 (50583402449)>,:face_with_open_mouth: you.,1
CWdG3x4Ahl9,<Profile the_baby_queen_1434 (50583402449)>,.,1
CWdG3x4Ahl9,<Profile the_baby_queen_1434 (50583402449)>,..,1
CWdG3x4Ahl9,<Profile the_baby_queen_1434 (50583402449)>,.,1
CWdG3x4Ahl9,<Profile the_baby_queen_1434 (50583402449)>,.,2
CWdG3x4Ahl9,<Profile the_baby_queen_1434 (50583402449)>,.,2
CWdG3x4Ahl9,<Profile the_baby_queen_1434 (50583402449)>,No,1
CWdG3x4Ahl9,<Profile the_baby_queen_1434 (50583402449)>,...,1
CWdG3x4Ahl9,<Profile the_baby_queen_1434 (50583402449)>,Aa,1
CWdG3x4Ahl9,<Profile the_baby_queen_1434 (50583402449)>,. Off. . Lo.,1
