post_shortcode,commenter_username,comment_text,comment_likes
DBag91tvhAb,<Profile itz_meharban_kushwah (64206186448)>,विराट कोहली को लाइक करने वालों को विराट कोहली की कसम है मुझे फॉलो करो,5
DBag91tvhAb,<Profile aditya_18_king_491 (8434817857)>,Ok happy Birthday :crown::birthday_cake:,219
DBag91tvhAb,<Profile anjkumari7096 (57166071835)>,Hppy birday sir,47
DBag91tvhAb,<Profile mukesh_rohilla_21 (61861107096)>,Sir my idol,4
DBag91tvhAb,<Profile aditya_18_king_491 (8434817857)>,Captain viraaat kohliiiii :birthday_cake::crown:,42
DBag91tvhAb,<Profile f_k_fareed_shaikh7875 (67240055927)>,Hi sir,8
DBag91tvhAb,<Profile bharthi4309 (7620059735)>,Happy birthday virat :smiling_face_with_heart-eyes:,46
DBag91tvhAb,<Profile mr_pandit7988 (44648690548)>,Happy Birthday Virat Kohli sir king :crown::crown: AUS vs India ke match mein century hai,67
DBag91tvhAb,<Profile lovekhaani (28091710794)>,:hatching_chick:Happy Birthday :birthday_cake::orange_heart:King :India:,1524
DBag91tvhAb,<Profile cute_boy___ankan (59572148701)>,:check_mark_button:,8
DBag91tvhAb,<Profile adithyavadapalli17 (68029013354)>,hey virat iambus big fan of you :crown::crown: please follow me that is my gift,1
DBag91tvhAb,<Profile __oye__anas__07___ (49811626754)>,Anand Ji mere ko follow maro,4
DBag91tvhAb,<Profile sachin_mehra_80 (66901239383)>,Support :sad_but_relieved_face::sad_but_relieved_face::sad_but_relieved_face:,10
DBag91tvhAb,<Profile rahul_roy_musical (8955031300)>,Hi Virat I m from Guwahati Assam :fire: Aaj vreegu kashyap kah birthday or apka v Guru ji ekbar comment dekhiya mera or Aaj jaiye beltola Guwahati main VK kah ghar main,16
DBag91tvhAb,<Profile azad_royal_0.01 (70140795658)>,Free palstine :Palestinian_Territories::Palestinian_Territories::Palestinian_Territories::Palestinian_Territories::Palestinian_Territories::Palestinian_Territories::Palestinian_Territories::Palestinian_Territories::Palestinian_Territories::Palestinian_Territories::Palestinian_Territories::Palestinian_Territories::Palestinian_Territories::Palestinian_Territories::Palestinian_Territories::Palestinian_Territories::Palestinian_Territories::Palestinian_Territories:,4
DBag91tvhAb,<Profile mr_tanvir_ff_ (69925803113)>,Happy birthday virt sir please one like,1
DBag91tvhAb,<Profile johnson645_6453 (70244174126)>,очень крyто,4
DBag91tvhAb,<Profile mahis_hofficial (70842913319)>,12k,1
DBag91tvhAb,<Profile king_18_315 (70272275069)>,Hy sir,5
DBag91tvhAb,<Profile parvvashishtha21 (50446189900)>,Today is 15 November 2023 sir I will never forget that magical day 1 year to that day today forever in our memories :black_heart: best semi final match,2
DBag91tvhAb,<Profile tohid_pardhan_01 (63012097296)>,:red_heart::red_heart::red_heart:,4
DBag91tvhAb,<Profile its_royal_kurmi_77 (57017467440)>,Virat bhaiya apni anuska ke cup ko zoom krke dekho :smiling_face_with_heart-eyes:,1
DBag91tvhAb,<Profile mintu29pathak (4782254872)>,Happy Birthday :birthday_cake: bhiya tora batting ka form wapas lao bhiya india har rahi hai,36
DBag91tvhAb,<Profile hey_the_gaurav (66995179547)>,Happy birthday:birthday_cake::party_popper::party_popper::party_popper::birthday_cake: sir :check_mark_button:,2
DBag91tvhAb,<Profile rehan7s_ (51187573121)>,Happy B'day K I N G :crown::birthday_cake: @virat.kohli,33
DBag91tvhAb,<Profile raulsharma03 (6035571777)>,I am biggest fan for you,1
DBag91tvhAb,<Profile mindcrafter008 (70054030840)>,Ghj,4
DBag91tvhAb,<Profile wolfe6659.1792540 (70458392941)>,очeнь круто,4
DBag91tvhAb,<Profile niharika_._7718 (52592503599)>,"Happiest birthday GOD :place_of_worship::birthday_cake::red_heart: He is the reason why I started watching cricket ,
He is the reason why I believe in 1% chance ,
He is the reason why I believe in comebacks 
HAPPY BIRTHDAY VIRAT KOHLI :sparkles::red_heart::crown:",124
DBag91tvhAb,<Profile _mrs_lover_boy_1k (63719314115)>,:check_mark_button:,2
DBag91tvhAb,<Profile hey_the_gaurav (66995179547)>,Happy birthday:birthday_cake::party_popper::party_popper::birthday_cake:@virat.kohli sir:party_popper::party_popper::birthday_cake::birthday_cake::crown::smiling_face_with_heart-eyes::smiling_face_with_heart-eyes::smiling_face_with_heart-eyes::fire::fire::raising_hands::raising_hands::red_heart::check_mark_button::check_mark_button::check_mark_button::check_mark_button::party_popper::party_popper::party_popper::party_popper::smiling_face_with_heart-eyes::smiling_face_with_heart-eyes::smiling_face_with_heart-eyes::smiling_face_with_heart-eyes::check_mark_button::check_mark_button::check_mark_button::check_mark_button::check_mark_button:,2
DBag91tvhAb,<Profile itskajal6797 (70155082027)>,:red_heart::red_heart::red_heart::red_heart::red_heart::red_heart:,1
DBag91tvhAb,<Profile loos372.2325 (70277186276)>,очeнь круто,4
