post_shortcode,commenter_username,comment_text,comment_likes
DCYx-pCBaTR,<Profile iyuvrajpokharna (196079264)>,The Mahua Mootra of New Zealand is hogging headlines here on Instagtam:face_with_tears_of_joy:,87
DCYx-pCBaTR,<Profile peterpathrros (49063346163)>,Respect!! I mean atleast they respect their heritage and don't shy away from donning it!!,17
DCYx-pCBaTR,<Profile keyur.pandhi (301604797)>,Opposition : “Chips maang rahi hai”,53
DCYx-pCBaTR,<Profile rathore.arjun8 (2540867705)>,Attention seekers in  parliament :face_vomiting:,21
DCYx-pCBaTR,<Profile neelesh8786 (28701223046)>,Ye toh newzealand ka kantara hai,13
DCYx-pCBaTR,<Profile bergrisar.r (6315150623)>,Reminds me of the Usos during their maidens and a couple of students performing haka for their retired teacher as a respected farewell.,3
DCYx-pCBaTR,<Profile patelurvish_ (1493567366)>,"This is not parliament, now this is circus :face_with_tears_of_joy::face_with_tears_of_joy:",15
DCYx-pCBaTR,<Profile ranzu966 (68099027424)>,The expression was hilarious :face_with_tears_of_joy:,15
DCYx-pCBaTR,<Profile chefsumairaa (1606949652)>,Wow the indigenous people of new zealand bravo,3
DCYx-pCBaTR,<Profile chrissmcgee (5384440405)>,British monarch suspended the house :raising_hands::raising_hands:,4
DCYx-pCBaTR,<Profile raushanpratap247 (646727698)>,Wasn’t she the one who did it the last time? We need more content :face_with_tears_of_joy:,2
DCYx-pCBaTR,<Profile ramyashree_lokesh (30290257204)>,This has become the current trend :face_with_tears_of_joy:,14
DCYx-pCBaTR,<Profile punita2111 (10169667009)>,Possessed? How can they tear anything like that.. even if they disagree??,11
DCYx-pCBaTR,<Profile anunagesh (1575108340)>,This MP  did this before too. Is this video a repeat of the same,1
DCYx-pCBaTR,<Profile rathore.arjun8 (2540867705)>,That's why every parliament needs leaders not actors,34
DCYx-pCBaTR,<Profile chefsumairaa (1606949652)>,:clapping_hands::fire:,1
DCYx-pCBaTR,<Profile the___dark__knight (3453213475)>,Some MPs will soon copy this style in Indian Parliament to become famous,80
DCYx-pCBaTR,<Profile genk010 (34124742260)>,Phirse chips mang rahi hai :face_with_tears_of_joy:,0
DCYx-pCBaTR,<Profile kartik.uppal.edits (4944518498)>,Lag raha hai chips maang rahi hai,1
DCYx-pCBaTR,<Profile thathungrynomad (185162265)>,Very civilised :clapping_hands::raising_hands:,4
DCYx-pCBaTR,<Profile yuvan_yashwanth (3627922432)>,"In our parliament fighting with words, in their parliament fighting with dance",1
DCYx-pCBaTR,<Profile krishna_pandit1007 (1624166607)>,Ye waha ki PINKI hai :face_with_tears_of_joy::face_with_tears_of_joy:,2
DCYx-pCBaTR,<Profile pandita_rahul222 (6674939187)>,Mast entertainment hai parliament mai :face_with_tears_of_joy:,7
DCYx-pCBaTR,<Profile rohit_informs (66860773907)>,she looks possessed,4
DCYx-pCBaTR,<Profile angla_p_meshwar (5571928666)>,She is beautiful :smiling_face_with_heart-eyes:,2
DCYx-pCBaTR,<Profile ahmad.mustabshir (55940515244)>,Who is making those weird faces :face_screaming_in_fear:,0
