post_shortcode,commenter_username,comment_text,comment_likes
DCZzjW7SW6E,<Profile atem_s (2015135161)>,:fire::fire::fire:,30
DCZzjW7SW6E,<Profile jivan_kumbhar_8844 (3712190287)>,:yellow_heart:,10
DCZzjW7SW6E,<Profile rihanansari128 (3950916913)>,:red_heart:,3
DCZzjW7SW6E,<Profile nargis__shaikh (1554247820)>,:red_heart:,87
DCZzjW7SW6E,<Profile amit_sarmal786 (2902085914)>,:red_heart::red_heart::fire:,5
DCZzjW7SW6E,<Profile missrachana (556225350)>,:fire::fire::fire:,3
DCZzjW7SW6E,<Profile the_w_dweller (3207047541)>,:red_heart::fire:,13
DCZzjW7SW6E,<Profile dishapatani_d (3948143123)>,:fire::fire::smiling_face_with_heart-eyes::red_heart:,10
DCZzjW7SW6E,<Profile gogoirani (3584404170)>,:fire::fire::fire:,28
DCZzjW7SW6E,<Profile rizkihasri (2098081261)>,:yellow_heart::fire:,15
DCZzjW7SW6E,<Profile vinuvincent771 (3855560493)>,:fire::raising_hands:,4
DCZzjW7SW6E,<Profile _m.a.n.i.t.h.a.n_ (4022528455)>,:smiling_face_with_heart-eyes::yellow_heart:,6
DCZzjW7SW6E,<Profile vkshkumar21.vk (3206357248)>,:fire::fire::yellow_heart::yellow_heart::fire::fire:,16
DCZzjW7SW6E,<Profile rohitkrsharma05 (2987756871)>,:smiling_face_with_heart-eyes:,9
DCZzjW7SW6E,<Profile sahiljagtap (832119737)>,Love:red_heart::red_heart::red_heart:,11
DCZzjW7SW6E,<Profile _benak_s_gowda_ (2357367417)>,:fire::yellow_heart:,10
DCZzjW7SW6E,<Profile _amit_adhikary31 (3265786043)>,:fire::fire::fire::red_heart::red_heart::red_heart:,12
DCZzjW7SW6E,<Profile punit_jagnani (3099171933)>,:fire::fire::smiling_face_with_heart-eyes:,9
DCZzjW7SW6E,<Profile bxjbeingloved (1766995937)>,:yellow_heart::fire:,19
DCZzjW7SW6E,<Profile ju_azevedos (259872613)>,:smiling_face_with_heart-eyes::smiling_face_with_heart-eyes::smiling_face_with_heart-eyes:,55
DCZzjW7SW6E,<Profile edwinvisha1 (3302685317)>,:smiling_face_with_heart-eyes::smiling_face_with_heart-eyes::smiling_face_with_heart-eyes::smiling_face_with_heart-eyes::smiling_face_with_heart-eyes:,13
DCZzjW7SW6E,<Profile sanja_s24 (316483765)>,:fire::fire::fire::fire::fire:,6
DCZzjW7SW6E,<Profile ashish_ruparel (4400012856)>,The Beauty ........,3
DCZzjW7SW6E,<Profile disha_patani13 (4478688647)>,those Abs :fire:,722
DCZzjW7SW6E,<Profile rahulkachrawat (339187305)>,:red_heart:,13
DCZzjW7SW6E,<Profile prince_kenz (393136151)>,:yellow_heart::yellow_heart::yellow_heart::yellow_heart:,12
DCZzjW7SW6E,<Profile mohd_maajid_ (3590356241)>,:butterfly::black_heart::black_heart::butterfly::black_heart::butterfly:,16
DCZzjW7SW6E,<Profile akhil_singh_rajput (1954771232)>,:fire:,37
DCZzjW7SW6E,<Profile __n__e__l__v__i__n__ (3232260216)>,:red_heart::red_heart::red_heart::fire::red_heart:,15
DCZzjW7SW6E,<Profile iadityaranjan (44460963)>,:fire::fire::fire::fire::fire::fire::fire::fire:,50
DCZzjW7SW6E,<Profile sumitthakur7053 (2102295699)>,जलपरी है ये तो:fire::fire::fire:,30
DCZzjW7SW6E,<Profile iadityaranjan (44460963)>,:smiling_face_with_heart-eyes::smiling_face_with_heart-eyes::smiling_face_with_heart-eyes::smiling_face_with_heart-eyes::smiling_face_with_heart-eyes::smiling_face_with_heart-eyes::smiling_face_with_heart-eyes::smiling_face_with_heart-eyes::smiling_face_with_heart-eyes::smiling_face_with_heart-eyes::smiling_face_with_heart-eyes:,28
DCZzjW7SW6E,<Profile dehalvesreal (1791597798)>,:fire::fire::fire:,116
DCZzjW7SW6E,<Profile sharonn.af (3559324252)>,Nothing left,0
DCZzjW7SW6E,<Profile mohd_maajid_ (3590356241)>,:butterfly::black_heart::butterfly::black_heart::butterfly::black_heart:@dishapatani @_.kanguva_,15
DCZzjW7SW6E,<Profile karlrudyh (3281745760)>,:cat_with_wry_smile::peach::face_with_tongue::smiling_face_with_open_hands::kiss_mark::people_hugging::face_blowing_a_kiss::ring::fire::smiling_face_with_hearts::red_heart:⚘,0
DCZzjW7SW6E,<Profile satish_kumar711 (1492819953)>,Bikni girl:face_vomiting:,1
DCZzjW7SW6E,<Profile ronaldlatchu (4876358707)>,Well oiled,612
DCZzjW7SW6E,<Profile ak_editor_6 (54031849829)>,So Beautiful :red_heart:,3
DCZzjW7SW6E,<Profile singlekastaalu (44964878326)>,Ni avva:face_with_tears_of_joy::face_with_tears_of_joy::face_with_tears_of_joy::face_with_tears_of_joy:theater poyedhi e ee scene kosam nuv pettesinava,25
DCZzjW7SW6E,<Profile kishushroff (567861990)>,:smiling_face_with_heart-eyes:,76
DCZzjW7SW6E,<Profile im_sneha_77 (40533471180)>,Boy's- ab bathroom me jaake NNN thodna padega:new_moon_face:,32
DCZzjW7SW6E,<Profile onikrahaman (6644103697)>,:fire::fire::fire::fire:,26
DCZzjW7SW6E,<Profile disha_my_heartbeat (5548960001)>,You look fireeeeee :hot_face::fire:,34
DCZzjW7SW6E,<Profile sexy_yadav420 (70805389141)>,:face_with_tongue::sweat_droplets::sweat_droplets::sweat_droplets::face_savoring_food:,5
DCZzjW7SW6E,<Profile mahendrasinghdeor (5324961840)>,:fire::cherry_blossom::OK_hand:,7
DCZzjW7SW6E,<Profile aakashlekhrajani (4409318715)>,:yellow_heart::fire:,9
DCZzjW7SW6E,<Profile pranuswaghero (4237027358)>,:fire::fire:,16
DCZzjW7SW6E,<Profile mr.amaan_official (4786933248)>,:smiling_face_with_heart-eyes::fire:,7
DCZzjW7SW6E,<Profile smriti_khanna (282717765)>,Wow :fire:,22
DCZzjW7SW6E,<Profile pimbelton (67152321775)>,,36
DCZzjW7SW6E,<Profile upthatfizz (68767774829)>,SugarFree Diet Coke Gum.:fireworks::eyes:,1
DCZzjW7SW6E,<Profile thaamitmishra (45215701945)>,Adibasi oil :fire:,4
DCZzjW7SW6E,<Profile khushboo_patani (1458046289)>,So ripped ! Can i ever get that :face_with_tears_of_joy::face_with_tears_of_joy: so dashing sis,58
DCZzjW7SW6E,<Profile cool_skipper17 (27671883362)>,Uffffff:fire::fire::hot_face::hot_face:,4
DCZzjW7SW6E,<Profile filmy_lk (47452864852)>,Just remove that towel disha uff:hot_face::sweat_droplets:,22
DCZzjW7SW6E,<Profile 107nishantrwt (3246919103)>,Super sizzling :two_hearts::face_blowing_a_kiss: sizzling :face_savoring_food::drooling_face: and hottest :fire::fire:,6
DCZzjW7SW6E,<Profile megna_.143 (25490358153)>,In 3D it was mind-blowing :smiling_face_with_heart-eyes:,10
DCZzjW7SW6E,<Profile tigerian__aarohii (57033161687)>,:red_heart::red_heart::fire::fire:,3
DCZzjW7SW6E,<Profile maayunsh (5338384925)>,:yellow_heart::fire::fire::fire:,6
DCZzjW7SW6E,<Profile iamaleksandarilic (5679942319)>,:smiling_face_with_heart-eyes::smiling_face_with_heart-eyes::smiling_face_with_heart-eyes::smiling_face_with_heart-eyes::smiling_face_with_heart-eyes::smiling_face_with_heart-eyes::smiling_face_with_heart-eyes:,21
DCZzjW7SW6E,<Profile anujgarg65 (10026533774)>,:fire::fire::fire::fire::fire::fire:,3
DCZzjW7SW6E,<Profile lovingkeshari1 (3965080253)>,Yellow :yellow_heart::yellow_heart::yellow_heart::yellow_heart::yellow_heart::yellow_heart:,4
DCZzjW7SW6E,<Profile pr_rocks_world (7326186740)>,Beach k bina bhi nungi hi rehti hai ye hamesha,5
DCZzjW7SW6E,<Profile katyperry_nani97 (50174785677)>,@dishapatani :red_heart::red_heart::red_heart::fire::fire:,4
DCZzjW7SW6E,<Profile officialtanyachaudhari (3308634784)>,Omg :fire::fire:,52
DCZzjW7SW6E,<Profile billa_.reels (64196772480)>,Uff for this reason only I watched Kanguva :smiling_face_with_heart-eyes:,16
DCZzjW7SW6E,<Profile ranjan.simkhada (5961276716)>,Goddess :fire::fire:,6
DCZzjW7SW6E,<Profile actress_gallerie (5871951874)>,Only positive thing in Kanguva,8
DCZzjW7SW6E,<Profile itskiktak (52774227890)>,Sassy with oil :red_heart:,3
DCZzjW7SW6E,<Profile mohdimadashad (54864280382)>,Nice :thumbs_up: beautiful pictures and sexy'lips and hoot figure hoot adda :yellow_heart::yellow_heart::yellow_heart::red_heart::red_heart::red_heart:,2
DCZzjW7SW6E,<Profile artworks_by_sameer (48498542080)>,,4
DCZzjW7SW6E,<Profile prince_fahad009 (6061444890)>,Disha u r very beautiful :smiling_face_with_heart-eyes:,3
DCZzjW7SW6E,<Profile simple.boy_69 (49357967244)>,She is going to break NNN of many :drooling_face:,291
DCZzjW7SW6E,<Profile _iqureshi95 (1916901104)>,Gyatttt,3
DCZzjW7SW6E,<Profile gauravupretiofficial (52062900177)>,,2
DCZzjW7SW6E,<Profile nanibhukya9458 (48883903438)>,:red_heart::red_heart::red_heart::red_heart::red_heart::red_heart::red_heart::red_heart::red_heart::red_heart::red_heart:,2
DCZzjW7SW6E,<Profile kanchan_negi_official (66803335747)>,Beach baby :yellow_heart:,9
DCZzjW7SW6E,<Profile xx___z.a.y.n___xx (53254759335)>,,2
DCZzjW7SW6E,<Profile the.naughty.panda (3251990508)>,Watched this tanned Disha ka badannnn on big screen :fire::fire:,3
