post_shortcode,commenter_username,comment_text,comment_likes
DCbaftTg-3c,<Profile web_spying_10 (68944470847)>,Dusre ki I'd Apne phone me open Karine 101% work & happy :smiling_face_with_smiling_eyes::dizzy:,1
DCbaftTg-3c,<Profile poorvathakkar (3124424937)>,"Rishwat dena aur lena dono hi gunaah he,to galat toh inhone bhi kiya he",2
DCbaftTg-3c,<Profile muskan___kumari_0000 (65053018590)>,:red_heart::red_heart:,1
DCbaftTg-3c,<Profile shivam_pandey104 (52487060242)>,Are waaha:face_with_tears_of_joy:,0
DCbaftTg-3c,<Profile miss.solanki_18 (60375429812)>,Toh kya hua,0
DCbaftTg-3c,<Profile ___its__priya12 (63947687796)>,:smiling_face_with_heart-eyes:,0
DCbaftTg-3c,<Profile syedsamiruk17 (67526052423)>,:fire:,0
DCbaftTg-3c,<Profile siyadsouza2 (54859927750)>,Kaun shakhs hai woh jo ek heroine ke peeta ko bhi nahi chorne wale :face_with_tears_of_joy:,2
DCbaftTg-3c,<Profile meenal_bais_ji (70624118450)>,:fire::fire::fire::fire:,0
DCbaftTg-3c,<Profile aradhiya_babe_99 (51805447582)>,Omg:fire::fire:,0
DCbaftTg-3c,<Profile savetree496 (54109217881)>,Tiger Shroff - Choti bacchi ho kya :face_with_tears_of_joy:,0
DCbaftTg-3c,<Profile meenal_bais_ji (70624118450)>,:OK_button::OK_button::OK_button::OK_button::OK_button:,0
DCbaftTg-3c,<Profile i_am_rahman_1111 (62252818910)>,,0
